source,hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct,crypto_amount_sent,error
cashin,9b20e191dd7895ef85b0b12ce41233f5e32f830f40875581fc972b6d33aafd5e,BTC,send,0.0109046,bc1qn7j6et49gnta0g4gamkd6klfp707hm6pttale5,2026-03-06,1.7e-06,BTC,0.12,3.0937,0.37,0.4,0.0109046,
cashin,0x011f5a949658e8b51d87c8a36005a997a5403333defc2a42010a202343f2d59d,USDT-ERC20,send,1100.907324,0x6ab7d97d45b607c3f3def9cb6cc25f86113eb8a8,2026-03-06,6.617e-05,ETH,0.14,3.0937,0.42,0.45,1100.907324,
cashin,29d4fcaa59851ac657913e9c4ce258161569a6f8b1f08cb383318f3aaba9375c,BTC,send,0.0122073,bc1q75e57las0hdyeh8hezrgn8qd33wkfad89wszwp,2026-03-06,1.7e-06,BTC,0.12,3.0937,0.37,0.4,0.0122073,
cashin,0xb1bbb01beb3dc7395cb43fccfbce8d6c412b8726eb376e7f03478f7e20edfb0c,USDT-ERC20,send,305.80759,0x559703c911bc0ec6bdb7bd4b4a095d7fbbe2f1d6,2026-03-06,4.83e-05,ETH,0.1,3.0937,0.31,0.33,305.80759,
cashin,0x3062c5cadcdb6104b05f578c32d517f70fbe32afa7d4b02861577992ce00c533,USDT-ERC20,send,61.053974,0xfaf31a7f3917247b2206763c9158eb1c8f4d1ca5,2026-03-06,4.827e-05,ETH,0.1,3.0937,0.31,0.33,61.053974,
cashin,0x1833311314f548564f90ab9cd3dd1210753c73af16a18ba4bc5228e23d3267c1,USDT-ERC20,send,76.352663,0x61a68326aa604362bd54f2909065b6d3c963f339,2026-03-06,6.668e-05,ETH,0.14,3.0937,0.43,0.45,76.352663,
cashin,1b3ce95730610287f62ac282cbd82b69c7ea5f460bcf86692dc60f928a19a2b7,BTC,send,0.02435893,bc1qa0pefzvz8qux36cfzrw5t5p03ftv7jphmelx3l,2026-03-06,2.07e-06,BTC,0.15,3.0937,0.45,0.48,0.02435893,
cashin,0xb2d85ccc4876342295b1108eb508a48aa6a6ea4c36a7d93503f807a190648a1a,ETH,send,0.066519,0xab4b2157073ff748a13d46588123cad9ffbb359d,2026-03-06,2.196e-05,ETH,0.05,3.0937,0.14,0.15,0.066519,
cashin,0x5157226628a7118ec409823c5b925c44c2c802c30254691b01519e70f5886b1d,ETH,send,0.73945,0x80a0bbc3888559430a8420407e1b69d412765158,2026-03-06,2.201e-05,ETH,0.05,3.0937,0.14,0.15,0.73945,
cashin,a21f5cc8fdd6d4fae3277d4f8e771b3ad497a0342fe0b4517642d0f47ebac7c0,BTC,send,1.14618252,bc1q2dyjnvfxxyzdk9p0d5cjcd437vn0ncdrz2zgx0,2026-03-06,3.56e-06,BTC,0.25,3.0937,0.78,0.83,1.14618252,
cashin,0x68010d1a498518f60e4815335d26ef4a8419b96048c207406eca046d2b7d29c2,USDT-ERC20,send,30.541065,0x29297b2985c89a8943d69cc4f93f89d03687bb0e,2026-03-06,4.824e-05,ETH,0.1,3.0937,0.31,0.33,30.541065,
cashin,0xc19b2c043605f7bf8772c434b431782e13a242be17e6a58073218ae6b8ba4b85,USDT-ERC20,send,1221.64262,0x8d357ea2ad642c1c2365f42d9ebf410fb9313983,2026-03-06,6.657e-05,ETH,0.14,3.0937,0.43,0.45,1221.64262,
cashin,0x3505c27e4cd08c2fb7ccfb8466e51329c53f84a16208493b197fe88106eab8aa,USDT-ERC20,send,122.178812,0x82f015b255b2be3775e2ef766e67f3cfa952cbf3,2026-03-06,4.8e-05,ETH,0.1,3.0937,0.31,0.33,122.178812,
cashin,0xd0a3bf477f9e1e4c036ec5d38434dcee304f8548dc70dc073e24b2a893a9c3cc,USDT-ERC20,send,152.670355,0x32558e8ed12ccd2c5c4734db50e13a2a421763bf,2026-03-06,6.677e-05,ETH,0.14,3.0937,0.43,0.45,152.670355,
cashin,91d992db64e501ba66ff9bbbdb1fc560ff490a1c134a770e2cd1ae5306568d72,BTC,send,1.15763408,bc1qpg2msf8mzln9t5gs6ykalhh4x02ksrkxa0dzdg,2026-03-06,2.07e-06,BTC,0.15,3.0937,0.45,0.48,1.15763408,
cashin,0xec87fccb62d32c9254fb5f0438f7c711c3aff2728a7dfb2793a53baa00525c96,ETH,send,0.014792,0x33f5230d2750876bb34c981c70396c5a255deaa8,2026-03-06,2.254e-05,ETH,0.05,3.0937,0.14,0.15,0.014792,
cashin,0xc4251538502c37cc0c0d00b59a95737a6ce213ac7a74153a99c829fdbb129140,USDT-ERC20,send,305.447035,0x60f301a82e3ec90175b601bcfa2b656691f13443,2026-03-06,6.847e-05,ETH,0.14,3.0937,0.44,0.47,305.447035,
cashin,0x80e86c0c9fb5e37b7b0f18cd9fde673817cdc094abce958fa3d9e0d3425a1564,USDT-ERC20,send,1527.235175,0x722763de37a3012e19959da83234bc72d1404072,2026-03-06,4.974e-05,ETH,0.1,3.0937,0.32,0.34,1527.235175,
cashin,0x76fe5dfe4e2337df86667eca6dba2233466cc6eba1340418c1005e2d46a73ae2,USDT-ERC20,send,610.82131,0xee086b24e34dcd4e468473807c9321c40a652f9f,2026-03-06,5.032e-05,ETH,0.1,3.0937,0.32,0.34,610.82131,
cashin,0xf0c6653a9686f7aaf7356c5f96038cfb5e91448ad266709d4003b4b246955faa,ETH,send,0.291481,0x5572fd04da90c74a50b8a2b80411668b119e86af,2026-03-06,2.303e-05,ETH,0.05,3.0937,0.15,0.16,0.291481,
cashin,d6ad16d82ae1619e138e1662f9d621d554e4b471065f1bdc41bd1e4f1be9e51e,BTC,send,1.18383115,bc1q9ls5ymy52stjh85gus9wk88ttx8jawvgcttedc,2026-03-06,2.85e-06,BTC,0.2,3.0937,0.62,0.66,1.18383115,
cashin,0xb2784f9b68df03145b42ad7c4612b0107703d0cc30d012216b866e89c41aab61,USDT-ERC20,send,427.476994,0x731069cf2e029b79423bf7be8c32a572f41cc035,2026-03-06,6.951e-05,ETH,0.14,3.0937,0.45,0.47,427.476994,
cashin,0fe56b48c2f52af13931d0e4343a1271eac06c2c69da714c6a681872151c1b58,BTC,send,1.282519,13JL29mcdfbVEQUi6G4aXgezjx13ow3TS4,2026-03-06,5.66e-06,BTC,0.4,3.0937,1.24,1.32,1.282519,
