hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct,crypto_amount_sent,error
75afc30e2bd9fbbe10f34d51ce713cfc2fa82ca71fd00b66432aa7f64c54fd9f,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/75afc30e2bd9fbbe10f34d51ce713cfc2fa82ca71fd00b66432aa7f64c54fd9f
d57f0d4d2d1ce9c1c86cffa9caea901b821ea913a41e8e44b4f434fa2dc4fed8,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/d57f0d4d2d1ce9c1c86cffa9caea901b821ea913a41e8e44b4f434fa2dc4fed8
2718d91b35d8dcd5b279ea02c5324fe7b4cb06fe855d0fba4c3427c0846f7757,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/2718d91b35d8dcd5b279ea02c5324fe7b4cb06fe855d0fba4c3427c0846f7757
f66805d0ad1a6d1af6fdfe2ca8a19794fa7f3ff305ec562df815fc26aea3f4b1,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/f66805d0ad1a6d1af6fdfe2ca8a19794fa7f3ff305ec562df815fc26aea3f4b1
b101ba4fabde6a2f7682874141854e113f39878ced4e5dd6a1c1572e238b170f,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/b101ba4fabde6a2f7682874141854e113f39878ced4e5dd6a1c1572e238b170f
5a02265599d0c524f5ab0575a0eafebf48b18620a456e085f7315908e2f04864,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/5a02265599d0c524f5ab0575a0eafebf48b18620a456e085f7315908e2f04864
6202098a6512ee731ff387b3fe2a45e9d9f02928ab2c1ad96c0d86f2c9f2be49,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/6202098a6512ee731ff387b3fe2a45e9d9f02928ab2c1ad96c0d86f2c9f2be49
fa3e134e7a06ed2e9b74a6c55fbde261ffe7366e096d089ff8238da22a1290f1,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/fa3e134e7a06ed2e9b74a6c55fbde261ffe7366e096d089ff8238da22a1290f1
d0ae43d7a9d61479d0faf2e44b69f3ff0de121be68bf54c93591fef9d585d165,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/d0ae43d7a9d61479d0faf2e44b69f3ff0de121be68bf54c93591fef9d585d165
0xa1f60e7e219df3c730420caa4a93c6953eeb795a3a69262923572f7df851ab43,,,,,,,,,,,,,Transaction not found: 0xa1f60e7e219df3c730420caa4a93c6953eeb795a3a69262923572f7df851ab43
3b01170134326c2c7440cb91c8fd8589163a10fc3067b7d826196eadd131d2aa,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/3b01170134326c2c7440cb91c8fd8589163a10fc3067b7d826196eadd131d2aa
430f27c27c3f91866a1e3645f03d7e2b06669bd6f3e3ad5b53e69ea17a1887a3,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/430f27c27c3f91866a1e3645f03d7e2b06669bd6f3e3ad5b53e69ea17a1887a3
0x27a31f80479a24180d176f4733488010cd0ff06c6c1cc96183d9b729421c03b8,,,,,,,,,,,,,Transaction not found: 0x27a31f80479a24180d176f4733488010cd0ff06c6c1cc96183d9b729421c03b8
0x86e47a60635ba79f291826dd72c2a89e9914424c4360528def9f231b1b460028,,,,,,,,,,,,,Transaction not found: 0x86e47a60635ba79f291826dd72c2a89e9914424c4360528def9f231b1b460028
0x855bc2daca306d90f4199db8de0af0c846c512d43b5534df8b03e609dc4511b5,,,,,,,,,,,,,Transaction not found: 0x855bc2daca306d90f4199db8de0af0c846c512d43b5534df8b03e609dc4511b5
