hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct
0x99c6412b14a5afc92400d4eda3afaa27d82b558fa485b80a824e95780988e380,ETH,send,0.233918,0xab4b2157073ff748a13d46588123cad9ffbb359d,14/12/2025,2.21E-05,ETH,0.07,3.202,0.22,0.23
0xb6a82e8d617bace6b941ce58cc31e6232d144655b4f4b0aa528108e6bcf7ab48,USDT-ERC20,send,175.635801,0xda3e35f4e36c3cf12d86d8890e8987a6c3739a2a,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
0x7f7d5844a0b587c479adf02ba52cc8f05bde86afe32acc24a0acf4901a87ea59,ETH,send,0.474075,0x606b7ec80950872f5ee7055050ad5243ac5318af,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
7c78c3cd73ca03cc15cc1ef43fc2c15eb76364ce92aa1592ee468041d91b7174,BTC,send,0.01847593,bc1qusy8mrjp2psgww20ev74d54hm2vagh3j9sa6fh,14/12/2025,2.07E-06,BTC,0.19,3.202,0.6,0.63
0xa6030518cadbc96876b2f00bf9668c4ed2c739dd537e9d266749476605c0a778,USDT-ERC20,send,541.543719,0x3575e2f013765ab5adb003d790c0a74fbb746ffa,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
0x02111aec5ba64b6b5b1793b604a3f39985e6e91176fc33cd949f4bd745d023fe,USDT-ERC20,send,1463.631673,0x41c20b03d4daf51b307c16dd9697ddd9758dc6d2,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
0xba1bcded1c18f8cefabd93172b632cec3f55f26ee2b149bc51c3c2ffe4aef59d,ETH,send,0.047425,0x621bc9c0472bb3ae00cf33f14bb8e28b78d4c45b,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
0xbe89693d49c338fcde06c6c9036825c1ec5d23eacb0817ce13d753465a4eacb6,USDT-ERC20,send,1434.359039,0x41c20b03d4daf51b307c16dd9697ddd9758dc6d2,14/12/2025,4.86E-05,ETH,0.15,3.202,0.48,0.51
0xd083f22c56f61e1ccef1f1800ac40a469b0715f02489a328f3f44e5519822bf3,USDT-ERC20,send,29.272633,0x41c20b03d4daf51b307c16dd9697ddd9758dc6d2,14/12/2025,6.65E-05,ETH,0.21,3.202,0.66,0.7
0x7976a2cde7a2c4b8656d18cbd98ce30cc51a4baaa30573eb1df3f43d775771c0,ETH,send,0.035165,0x1f990990030b00b321ff4bb1935157d441cf7933,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
0x38cf72335c0cf0691463f7cc69927215ab81451bdebd0fb7540af63b6894d595,ETH,send,0.475126,0x38134e00358870cf0a5f6327599472cded15cf71,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
0xdb18357448f4eed7ffd079b77492789e44f12f1f4040ec32fa1a3b461c62b7ac,USDT-ERC20,send,1405.086399,0xf418408a19f50223e9a9782b6cff91fcb8782713,14/12/2025,6.62E-05,ETH,0.21,3.202,0.66,0.7
50844b2c3aff28c53bcad60306b076f06989b6e51d64e9863870d200539dc05d,BTC,send,0.0025943,bc1qtmu2gfqjzewcxyh0qyt87rgz2ydudy6kqwcfyv,14/12/2025,1.70E-06,BTC,0.15,3.202,0.49,0.52
0xb1f9b728d525bc1fce66572a7f1a021b968057f28a1a25987744b6998ac919f6,USDT-ERC20,send,292.69292,0x2e517f2697dcd33359d65582021b24987e3c4d6a,14/12/2025,4.82E-05,ETH,0.15,3.202,0.48,0.51
0x99c6412b14a5afc92400d4eda3afaa27d82b558fa485b80a824e95780988e380,ETH,send,0.233918,0xab4b2157073ff748a13d46588123cad9ffbb359d,14/12/2025,2.21E-05,ETH,0.07,3.202,0.22,0.23
0xb6a82e8d617bace6b941ce58cc31e6232d144655b4f4b0aa528108e6bcf7ab48,USDT-ERC20,send,175.635801,0xda3e35f4e36c3cf12d86d8890e8987a6c3739a2a,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
0x7f7d5844a0b587c479adf02ba52cc8f05bde86afe32acc24a0acf4901a87ea59,ETH,send,0.474075,0x606b7ec80950872f5ee7055050ad5243ac5318af,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
7c78c3cd73ca03cc15cc1ef43fc2c15eb76364ce92aa1592ee468041d91b7174,BTC,send,0.01847593,bc1qusy8mrjp2psgww20ev74d54hm2vagh3j9sa6fh,14/12/2025,2.07E-06,BTC,0.19,3.202,0.6,0.63
0xa6030518cadbc96876b2f00bf9668c4ed2c739dd537e9d266749476605c0a778,USDT-ERC20,send,541.543719,0x3575e2f013765ab5adb003d790c0a74fbb746ffa,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
0x02111aec5ba64b6b5b1793b604a3f39985e6e91176fc33cd949f4bd745d023fe,USDT-ERC20,send,1463.631673,0x41c20b03d4daf51b307c16dd9697ddd9758dc6d2,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
